id,title,year,budget,revenue
3961,Tanner Hall,2009,3000000,5073
3962,Open Road,2013,3000000,47469
3963,They Came Together,2014,3000000,82780
3964,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2013,3000000,0
3965,Never Back Down 2: The Beatdown,2011,0,0
3967,Four Single Fathers,2009,3000000,0
3968,Enter the Dangerous Mind,2013,3000000,0
3969,Something Wicked,2014,3000000,0
3970,AWOL-72,2015,3000000,0
3971,Iguana,1988,3000000,0
3972,Chicago Overcoat,2009,3000000,0
3973,Barry Munday,2010,3000000,0
3976,Close Range,2015,3000000,0
3977,Boynton Beach Club,2005,2900000,3127472
3978,Amnesiac,2015,3000000,0
3980,High Tension,2003,2850000,6435262
3981,Griff the Invisible,2011,2900000,25935
3982,Unnatural,2015,3000000,0
3989,Lage Raho Munna Bhai,2006,2700000,31517561
3990,Ulee's Gold,1997,2700000,15600000
3992,Sardaarji,2015,0,0
3993,Journey to Saturn,2008,0,0
3995,The Dress,1996,2650000,16556
4000,Maurice,1987,2600000,3305831
4001,Beer League,2006,0,0
4004,Silver Medalist,2009,2600000,0
4005,Timber Falls,2007,2600000,71248
4007,"Fat, Sick & Nearly Dead",2010,2600000,0
4010,That Thing You Do!,1996,0,0
4014,Kevin Hart: Let Me Explain,2013,2500000,32327255
4015,My Own Private Idaho,1991,2500000,6402593
4018,Evil Words,2003,0,0
4019,Jesus' Son,1999,2500000,1687548
4020,Saving Face,2004,2500000,1269705
4021,Brick Lane,2007,2500000,3838486
4023,My Life Without Me,2003,2500000,12267275
4025,Religulous,2008,2500000,13881317
4026,Fuel,2008,2500000,174255
4027,Valley of the Heart's Delight,2006,2500000,118666
4029,8: The Mormon Proposition,2010,2500000,100280
4030,The Other End of the Line,2008,2500000,507446
4031,Anatomy,2000,0,0
4034,Christmas Mail,2010,2500000,0
4035,Stung,2015,2500000,0
4036,Antibirth,2016,2500000,0
4038,Thr3e,2006,2400000,1420418
4040,The Rise of the Krays,2015,2500000,0
4042,U.F.O.,2012,0,0
4044,Go for It!,2011,0,0
