id,title,year,budget,revenue
10,The Pink Panther,2006,8000000.0,16410000.0
1003,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2013,300000.0,0
1004,Never Back Down 2: The Beatdown,2011,550000.0,0
1005,Four Single Fathers,2009,0,0
1006,Enter the Dangerous Mind,2013,0,0
1007,Something Wicked,2014,300000.0,0
1008,AWOL-72,2015,0,0
1009,Iguana,1988,0,161398
1010,Chicago Overcoat,2009,200000.0,0
1011,Barry Munday,2010,0,0
1012,Close Range,2015,300000.0,248979
1014,Amnesiac,2015,0,0
1017,Unnatural,2015,0,0
1020,Sardaarji,2015,0,37620000.0
1021,Journey to Saturn,2008,0,0
1024,Beer League,2006,280000.0,472185
1025,Silver Medalist,2009,0,0
1027,"Fat, Sick & Nearly Dead",2010,0,0
1028,That Thing You Do!,1996,2600000.0,3460000.0
1031,Evil Words,2003,0,0
104,The Warlords,2007,4000000.0,4290000.0
1041,Anatomy,2000,840000.0,0
1042,Christmas Mail,2010,0,0
1043,Stung,2015,0,0
1044,Antibirth,2016,0,0
1046,The Rise of the Krays,2015,0,0
1047,U.F.O.,2012,0,0
1048,Go for It!,2011,0,0
105,Nomad: The Warrior,2005,4000000.0,308900.0
1052,The Brave Little Toaster,1987,229999.99999999997,229999.99999999997
1053,8 Days,2014,0,0
1056,Impact Point,2008,0,0
1057,Eden,2015,0,0
1059,There's Always Woodstock,2014,0,0
106,A Monster in Paris,2011,3200000.0,2660000.0
1060,Jack Brooks: Monster Slayer,2007,250000.0,0
1063,Lies in Plain Sight,2010,0,0
1064,Sharkskin,2015,0,0
1065,Containment,2015,0,0
1066,The Timber,2015,210000.0,0
1067,The Toxic Avenger Part II,1989,229999.99999999997,792966
1081,Hum To Mohabbat Karega,2000,0,0
1084,The Lost Medallion: The Adventures of Billy Stone,2013,250000.0,705854
1085,The Last Five Years,2014,200000.0,145427
1092,Gangster's Paradise: Jerusalema,2008,200000.0,400000
1095,Nine Dead,2010,0,0
1097,Supercapitalist,2012,500000,15919
1098,Rockaway,2007,0,0
1099,The Lady from Shanghai,1947,0,0
11,Deja Vu,1998,0,0
110,Dragon Nest: Warriors' Dawn,2014,2200000.0,919999.9999999999
1100,No Man's Land: The Rise of Reeker,2008,200000.0,0
1101,Highway,2002,1400000.0,0
1102,Small Apartments,2012,0,0
1103,Coffee Town,2013,200000.0,0
1105,All Is Bright,2013,0,4556
1106,The Torture Chamber of Dr. Sadism,1967,0,0
1107,Straight A's,2013,0,520000.0
1108,A Funny Thing Happened on the Way to the Forum,1966,200000.0,0
1109,Slacker Uprising,2007,0,0
1110,The Legend of Hell's Gate: An American Conspiracy,2011,0,0
1111,The Walking Deceased,2015,0,0
1112,The Curse of Downers Grove,2015,0,0
1113,Shark Lake,2015,0,0
1116,The Marine 4: Moving Target,2015,195000.0,0
1119,One to Another,2006,0,0
1120,ABCD (Any Body Can Dance),2013,0,0
1122,Abandoned,2015,850000,0
1125,The Crime of Padre Amaro,2002,180000.0,2700000.0
1128,The Greatest Movie Ever Sold,2011,150000.0,0
1131,Deadline - U.S.A.,1952,0,125000.0
1132,Sublime,2007,180000.0,0
1133,A Beginner's Guide to Snuff,2016,0,0
1134,Independence Daysaster,2013,0,0
1135,Dysfunctional Friends,2012,0,0
1136,Against the Wild,2013,0,0
1137,Under the Same Moon,2008,0,0
1144,Caramel,2007,0,1420000.0
1146,The Bubble,2006,150000.0,103000.0
1151,Kickboxer: Vengeance,2016,1700000.0,287779
1153,Nine Queens,2000,0,1241000.0
1168,Wal-Mart: The High Cost of Low Price,2005,150000.0,0
1169,Fetching Cody,2005,0,0
1170,Last I Heard,2013,0,0
1171,Closer to the Moon,2013,500000.0,5396
