id,title,year,budget,revenue
39303,2:13,2009,0,0
9282,11:14,2003,600000,0
14902,1776,1972,600000,280000
215918,1982,2013,0,0
301325,#Horror,2015,0,0
157058,30 Nights of Paranormal Activity With the Devil Inside the Girl With the Dragon Tattoo,2013,300000,0
433715,8 Days,2014,0,0
1958,8 Women,2002,800000,4240000
386826,A Beginner's Guide to Snuff,2016,0,0
13187,A Charlie Brown Christmas,1965,96000,0
8435,A Cock and Bull Story,2005,0,0
18632,A Dog's Breakfast,2007,0,0
248402,A Fine Step,2014,0,0
17768,A Funny Thing Happened on the Way to the Forum,1966,200000,0
251471,A LEGO Brickumentary,2015,0,0
175555,A Madea Christmas,2013,2500000,5340000
77459,A Monster in Paris,2011,3200000,2660000
37206,A Shine of Rainbows,2009,0,0
358451,A Tale of Three Cities,2015,0,0
222250,A True Story,2013,0,0
49953,A Turtle's Tale: Sammy's Adventures,2010,0,0
44555,"A Woman, a Gun and a Noodle Shop",2009,1200000,3860000
356987,Abandoned,2015,850000,0
157293,ABCD (Any Body Can Dance),2013,0,0
376004,Adulterers,2016,0,0
118612,After,2012,0,0
246449,Against the Wild,2013,0,0
77156,Alien Zone,1978,0,0
174311,All Is Bright,2013,0,4556
86304,All Superheroes Must Die,2011,20000,0
16858,All That Jazz,1979,1200000,3780000
285743,Alleluia! The Devil's Carnival,2016,0,0
294512,Alpha and Omega: The Legend of the Saw Tooth Cave,2014,0,0
402515,American Beast,2014,0,0
378237,Amidst the Devil's Wings,2014,0,0
351043,Amnesiac,2015,0,0
10008,An American Haunting,2005,1400000,2961000
282128,An American in Hollywood,2014,0,0
29122,An Everlasting Piece,2000,1400000,75228
1698,Anatomy,2000,840000,0
324352,Anderson's Cross,2010,0,0
253253,Animals,2014,0,0
50135,Animals United,2010,0,0
96724,Anna Karenina,2012,4060000,6890000
17663,Anne of Green Gables,1985,350000,0
335244,Antarctic Edge: 70 South,2015,0,0
332285,Antibirth,2016,0,0
13158,Aqua Teen Hunger Force Colon Movie Film for Theaters,2007,750000,550000
288927,Archaeology of a Woman,2014,0,0
13491,Arn: The Knight Templar,2007,21000000,0
178862,Aroused,2013,0,0
271185,Ask Me Anything,2014,950000,48710
86549,August,2011,0,0
342502,AWOL-72,2015,0,0
269057,Bang Bang Baby,2014,0,0
44594,Barry Munday,2010,0,0
15208,Bathory: Countess of Blood,2008,0,343700
142061,"Batman: The Dark Knight Returns, Part 2",2013,0,0
66767,Beat the World,2011,0,933540
14137,Beer League,2006,280000,472185
107315,Below Zero,2011,0,0
174362,Bending Steel,2013,0,0
55903,Betty Fisher and Other Stories,2001,900000,468
318040,Bizarre,2015,0,0
84178,Black Rock,2012,0,0
310706,Black Water Transit,2009,2300000,0
22530,Bled,2008,0,0
310933,Bleeding Hearts,2013,0,0
4107,Bloody Sunday,2002,200000,482117
299552,Born Of War,2013,0,0
34099,Brave New Girl,2004,0,0
62728,Brighton Rock,2010,1200000,182900
20770,But I'm a Cheerleader,1999,0,260000
34697,Butterfly,1982,0,0
13250,Butterfly on a Wheel,2007,2000000,0
287815,Call + Response,2008,0,0
7973,Caramel,2007,0,1420000
181940,Carousel of Revenge,2007,0,0
25769,Carriers,2009,0,580000
319069,Censored Voices,2015,0,0
352978,Chain of Command,2015,0,0
17139,Character,1997,450000,713413
356841,Checkmate,2015,0,0
370980,Chiamatemi Francesco - Il Papa della gente,2015,0,0
