id,title,year,budget,revenue
79698,The Lovers,2015,35000000,53899
7978,The Wolfman,2010,150000000,142634358
10588,The Cat in the Hat,2003,109000000,133818283
10214,Son of the Mask,2005,100000000,59918422
77953,The Campaign,2012,95000000,104907746
258509,Alvin and the Chipmunks: The Road Chip,2015,90000000,249517956
10357,Volcano,1997,90000000,120100000
51052,Arthur Christmas,2011,85000000,148947564
16858,All That Jazz,1979,0,37823676
146216,RED 2,2013,84000000,141507355
12096,The Pink Panther,2006,0,10878107
161795,Deja Vu,1998,0,6321997
9822,Mighty Joe Young,1998,80000000,50632037
9678,Little Nicky,2000,80000000,58270391
330770,Evolution,2015,80000000,98341932
9433,The Edge,1997,0,34099255
36970,Oceans,2009,80000000,86787530
293644,Top Cat Begins,2015,0,0
332,Inspector Gadget,1999,75000000,97387965
1439,Anna and the King,1999,75000000,39251128
25769,Carriers,2009,0,6825397
10395,Wolf,1994,70000000,131011757
11535,Rollerball,2002,70000000,25852508
11820,Mona Lisa Smile,2003,65000000,141205169
9440,Primary Colors,1998,65000000,39017984
11983,Proof of Life,2000,65000000,62761005
10783,Lucky Numbers,2000,65000000,10014234
9955,Blades of Glory,2007,61000000,145594548
11199,Wild Hogs,2007,60000000,253555383
5994,The Family Man,2000,60000000,124715863
13576,This Is It,2009,0,0
10628,Kangaroo Jack,2003,60000000,90558582
9302,Up Close & Personal,1996,60000000,100645801
10771,The Tuxedo,2002,60000000,104429625
10040,Miss Congeniality 2: Armed and Fabulous,2005,60000000,101292343
87825,Trouble with the Curve,2012,60000000,47818913
8838,Mercury Rising,1998,60000000,32983332
9513,Garfield: A Tail of Two Kitties,2006,60000000,147985373
11374,Edtv,1999,60000000,35319689
2312,In the Name of the King: A Dungeon Siege Tale,2007,60000000,13233220
9839,Beyond Borders,2003,60000000,11427090
9713,Holy Man,1998,60000000,12069719
347969,The Ridiculous 6,2015,60000000,0
10603,George of the Jungle,1997,55000000,174463257
11353,Bowfinger,1999,55000000,98699769
12117,Instinct,1999,55000000,34105207
13260,Semi-Pro,2008,55000000,43980363
19724,Imagine That,2009,55000000,22438144
2841,A Very Long Engagement,2004,55000000,69722444
39437,Beloved,1998,53000000,22852487
1950,Lucky You,2007,55000000,6521829
11817,Bulletproof Monk,2003,52000000,26922492
9969,Deck the Halls,2006,51000000,46815807
9441,Stepmom,1998,50000000,159745279
13673,Christmas with the Kranks,2004,50000000,96469187
10393,The Replacements,2000,50000000,50054511
6623,The Peacemaker,1997,50000000,62967368
10390,For Love of the Game,1999,50000000,46112640
13498,Man of the House,2005,0,40029009
9275,Death to Smoochy,2002,50000000,8374062
10416,What Planet Are You From?,2000,50000000,6291602
96724,Anna Karenina,2012,0,858553
53953,The Tooth Fairy,2006,0,0
11232,Kate & Leopold,2001,48000000,70937778
7504,Earth,1998,0,528972
593,Solaris,1972,47000000,14970038
11467,America's Sweethearts,2001,46000000,160648493
27983,"Yours, Mine and Ours",1968,0,25912624
15045,Fat Albert,2004,45000000,48563556
8987,The River Wild,1994,45000000,94215000
11359,The Indian in the Cupboard,1995,45000000,35627222
4688,Across the Universe,2007,45000000,29367143
9625,The Glimmer Man,1996,45000000,36404841
9304,Multiplicity,1996,45000000,20133326
21355,All the Pretty Horses,2000,45000000,18120267
1494,Curse of the Golden Flower,2006,0,0
9623,The Juror,1996,44000000,22730924
10468,28 Days,2000,43000000,62063972
87826,Here Comes the Boom,2012,42000000,73239258
25189,The Mirror Has Two Faces,1996,42000000,41267469
18480,Bruno,2009,42000000,138708527
280391,Why I Did (Not) Eat My Father,2015,0,0
10610,The Medallion,2003,41000000,22108977
9930,Legal Eagles,1986,40000000,49851591
71864,The Odd Life of Timothy Green,2012,40000000,55249159
9096,Medicine Man,1992,40000000,44948240
11011,Rihie Rih,1994,0,0
10641,Autumn in New York,2000,40000000,90717684
10154,Mickey Blue Eyes,1999,40000000,53864342
8457,Drillbit Taylor,2008,40000000,49686263
188161,A Million Ways to Die in the West,2014,40000000,86778557
10391,Bless the Child,2000,40000000,40435694
12184,The Other Boleyn Girl,2008,40000000,78269970
15556,At First Sight,1999,40000000,22365133
11062,City Hall,1996,40000000,20278055
6071,Kiss of Death,1995,40000000,14942422
11025,New York Minute,2004,40000000,21156715
14655,Soul Men,2008,40000000,12345883
24575,Raise the Titanic,1980,40000000,7000000
4965,Impostor,2001,40000000,7974607
56715,Just Visiting,2001,40000000,16172200
20542,Delgo,2008,40000000,915840
5353,The Hunting Party,2007,40000000,7729552
11934,The Hudsucker Proxy,1994,40000000,14938149
14392,The Warlords,2007,0,0
19495,Nomad: The Warrior,2005,0,0
77459,A Monster in Paris,2011,0,0
26486,The Last Shot,2004,40000000,463730
1257,Because I Said So,2007,39000000,69538833
9099,Sgt. Bilko,1996,39000000,37956589
257932,Dragon Nest: Warriors' Dawn,2014,0,0
10833,Heartbreakers,2001,38000000,57753825
12312,Joe Somebody,2001,38000000,24515990
13503,Texas Rangers,2001,38000000,623374
31908,Ghosts of Mississippi,1996,36000000,13052741
10219,Snow Falling on Cedars,1999,36000000,14378353
9776,Head of State,2003,35200000,38283765
45054,There Be Dragons,2011,36000000,4020990
10806,In & Out,1997,35000000,83226569
9313,The Man in the Iron Mask,1998,0,0
9957,The Benchwarmers,2006,35000000,65063726
5516,The Ladykillers,2004,35000000,77392139
11469,Black Knight,2001,35000000,33422806
2447,The Nativity Story,2006,35000000,46309644
10410,Hoffa,1992,35000000,28391473
11004,Wonder Boys,2000,35000000,33422485
118957,Bait,2012,35000000,15471969
18886,Flight of the Intruder,1991,35000000,14471440
6440,The Shipping News,2001,35000000,24405825
37498,Knock Off,1998,35000000,10319915
49478,Warriors of Virtue,1997,35000000,6448817
9702,Bound by Honor,1993,35000000,4496583
9311,Smilla's Sense of Snow,1997,35000000,2221994
26843,Lion of the Desert,1981,35000000,1500000
45958,Biutiful,2010,35000000,24687524
310706,Black Water Transit,2009,35000000,0
21311,I Dreamed of Africa,2000,34000000,14291999
77875,Playing for Keeps,2012,35000000,2000000
202575,Thunder and the House of Magic,2013,34000000,62582520
10685,The Watcher,2000,33000000,47267829
12596,Pushing Tin,1999,33000000,8408835
11888,Snow Dogs,2002,32000000,116898028
9647,Scrooged,1988,32000000,59450796
12920,Dreamer: Inspired By a True Story,2005,32000000,39498360
8649,Bringing Out the Dead,1999,32000000,16640210
3587,Bogus,1996,32000000,4357406
32274,Cradle Will Rock,1999,32000000,2899970
5494,George and the Dragon,2004,32000000,0
2054,Mr. Holland's Opus,1995,31000000,106282604
16300,Down to Earth,2001,30000000,71172251
9715,Hope Floats,1998,30000000,81529000
227783,The Nut Job,2014,30000000,122529966
21972,Like Mike,2002,30000000,62432423
37056,Letters to Juliet,2010,30000000,82148538
9918,Glory Road,2006,30000000,42799060
13156,Secondhand Lions,2003,30000000,47902566
14034,What's the Worst That Could Happen?,2001,30000000,38462071
11137,The Prince & Me,2004,30000000,30089110
239566,Get on Up,2014,30000000,33339868
53113,One True Thing,1998,30000000,26708196
4474,My Super Ex-Girlfriend,2006,30000000,60772856
184346,Deliver Us from Evil,2014,0,201275
8869,Eight Legged Freaks,2002,30000000,36722311
37707,Splice,2009,30000000,28542494
10350,Wing Commander,1999,30000000,11578022
28902,In Dreams,1999,30000000,12017369
14164,Dragonball Evolution,2009,30000000,56511457
76640,The Last Stand,2013,30000000,48330757
311,Once Upon a Time in America,1984,30000000,5575648
102362,Dead Man Down,2013,30000000,19599974
11162,The Merchant of Venice,2004,30000000,18765585
6016,The Good Thief,2003,30000000,6460758
17186,Supercross,2005,30000000,3252550
2008,The Promise,2005,90000000,10551417
31203,Little Nicholas,2009,0,0
265208,Wild Card,2015,30000000,4315789
50135,Animals United,2010,0,0
1874,Goodbye Bafana,2007,30000000,2717302
271331,United Passions,2014,30000000,168832
215211,Grace of Monaco,2014,30000000,25199891
367961,Savva. Heart of the Warrior,2015,0,0
10955,Ripley's Game,2002,30000000,1692644
9449,The Borrowers,1997,29000000,54045832
11499,Frost/Nixon,2008,0,0
12506,Cry Freedom,1987,29000000,25899797
24071,Mumford,1999,28700000,4559569
26320,Taking Woodstock,2009,29000000,10066366
10383,Lost Souls,2000,28000000,31320293
9583,Divine Secrets of the Ya-Ya Sisterhood,2002,0,0
63574,Joyful Noise,2012,27500000,31157914
12783,The Duchess,2008,27000000,45160110
5126,Martian Child,2007,27000000,9352089
31582,Flawless,1999,27000000,4485485
41488,The Statement,2003,27000000,1545064
37028,The Magic Flute,2006,27000000,0
1901,In Good Company,2004,26000000,63463195
11509,Silverado,1985,26000000,33200000
31640,Blood and Wine,1996,26000000,1083350
9092,Snow White: A Tale of Terror,1997,0,0
