id,cast_parsed
19995,"Michelle Rodriguez,Sigourney Weaver,Sam Worthington,Stephen Lang,Zoe Saldana"
285,"Stellan Skarsgård,Keira Knightley,Orlando Bloom,Chow Yun-fat,Johnny Depp"
206647,"Monica Bellucci,Christoph Waltz,Ralph Fiennes,Daniel Craig,Léa Seydoux"
49026,"Christian Bale,Michael Caine,Anne Hathaway,Gary Oldman,Tom Hardy"
49529,"Thomas Haden Church,Samantha Morton,Taylor Kitsch,Willem Dafoe,Lynn Collins"
559,"Thomas Haden Church,Kirsten Dunst,Tobey Maguire,James Franco,Topher Grace"
38757,"Donna Murphy,Zachary Levi,Ron Perlman,M.C. Gainey,Mandy Moore"
99861,"Scarlett Johansson,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans"
767,"Daniel Radcliffe,Michael Gambon,Rupert Grint,Emma Watson,Tom Felton"
209112,"Jesse Eisenberg,Henry Cavill,Ben Affleck,Amy Adams,Gal Gadot"
1452,"James Marsden,Kate Bosworth,Brandon Routh,Parker Posey,Kevin Spacey"
10764,"Giancarlo Giannini,Mathieu Amalric,Olga Kurylenko,Daniel Craig,Judi Dench"
58,"Stellan Skarsgård,Keira Knightley,Orlando Bloom,Johnny Depp,Bill Nighy"
57201,"Helena Bonham Carter,William Fichtner,James Badge Dale,Armie Hammer,Johnny Depp"
49521,"Michael Shannon,Kevin Costner,Henry Cavill,Diane Lane,Amy Adams"
2454,"William Moseley,Anna Popplewell,Skandar Keynes,Georgie Henley,Ben Barnes"
24428,"Scarlett Johansson,Robert Downey Jr.,Chris Hemsworth,Mark Ruffalo,Chris Evans"
1865,"Geoffrey Rush,Penélope Cruz,Kevin McNally,Johnny Depp,Ian McShane"
41154,"Michael Stuhlbarg,Tommy Lee Jones,Emma Thompson,Josh Brolin,Will Smith"
122917,"Richard Armitage,Graham McTavish,Martin Freeman,Ian McKellen,Ken Stott"
1930,"Andrew Garfield,Campbell Scott,Denis Leary,Rhys Ifans,Emma Stone"
20662,"Cate Blanchett,Russell Crowe,Max von Sydow,William Hurt,Mark Strong"
57158,"Richard Armitage,Graham McTavish,Martin Freeman,Ian McKellen,Ken Stott"
2268,"Dakota Blue Richards,Nicole Kidman,Daniel Craig,Sam Elliott,Eva Green"
254,"Thomas Kretschmann,Adrien Brody,Colin Hanks,Naomi Watts,Jack Black"
597,"Leonardo DiCaprio,Frances Fisher,Kate Winslet,Kathy Bates,Billy Zane"
271110,"Scarlett Johansson,Robert Downey Jr.,Anthony Mackie,Sebastian Stan,Chris Evans"
44833,"Alexander Skarsgård,Brooklyn Decker,Tadanobu Asano,Taylor Kitsch,Rihanna"
135397,"Bryce Dallas Howard,Vincent D'Onofrio,Nick Robinson,Irrfan Khan,Chris Pratt"
37724,"Ralph Fiennes,Javier Bardem,Naomie Harris,Daniel Craig,Judi Dench"
558,"Rosemary Harris,Kirsten Dunst,Tobey Maguire,Alfred Molina,James Franco"
68721,"Robert Downey Jr.,Gwyneth Paltrow,Rebecca Hall,Don Cheadle,Guy Pearce"
12155,"Helena Bonham Carter,Crispin Glover,Mia Wasikowska,Anne Hathaway,Johnny Depp"
36668,"Patrick Stewart,Famke Janssen,Ian McKellen,Hugh Jackman,Halle Berry"
62211,"Steve Buscemi,Billy Crystal,Noah Johnston,John Goodman,Helen Mirren"
8373,"Tyrese Gibson,Josh Duhamel,Shia LaBeouf,Rainn Wilson,Megan Fox"
91314,"Kelsey Grammer,Mark Wahlberg,Stanley Tucci,Nicola Peltz,Jack Reynor"
68728,"Michelle Williams,James Franco,Rachel Weisz,Mila Kunis,Zach Braff"
102382,"Andrew Garfield,Campbell Scott,Dane DeHaan,Emma Stone,Jamie Foxx"
20526,"Bruce Boxleitner,Garrett Hedlund,Jeff Bridges,Olivia Wilde,Yaya DaCosta"
49013,"Larry the Cable Guy,Emily Mortimer,Michael Caine,John Turturro,Owen Wilson"
44912,"Peter Sarsgaard,Ryan Reynolds,Blake Lively,Mark Strong,Tim Robbins"
10193,"Michael Keaton,Joan Cusack,Ned Beatty,Tom Hanks,Tim Allen"
534,"Bryce Dallas Howard,Sam Worthington,Christian Bale,Moon Bloodgood,Anton Yelchin"
168259,"Michelle Rodriguez,Dwayne Johnson,Tyrese Gibson,Paul Walker,Vin Diesel"
72190,"James Badge Dale,Abigail Hargrove,Sterling Jerins,Mireille Enos,Brad Pitt"
127585,"Michael Fassbender,Jennifer Lawrence,Hugh Jackman,James McAvoy,Halle Berry"
54138,"Zachary Quinto,Zoe Saldana,Simon Pegg,Karl Urban,Chris Pine"
81005,"Eleanor Tomlinson,Nicholas Hoult,Stanley Tucci,Ewan McGregor,Ian McShane"
64682,"Leonardo DiCaprio,Elizabeth Debicki,Carey Mulligan,Tobey Maguire,Joel Edgerton"
9543,"Jake Gyllenhaal,Steve Toussaint,Gemma Arterton,Alfred Molina,Ben Kingsley"
68726,"Charlie Hunnam,Ron Perlman,Charlie Day,Burn Gorman,Idris Elba"
38356,"Frances McDormand,John Malkovich,Josh Duhamel,Shia LaBeouf,Ken Jeong"
217,"Cate Blanchett,Harrison Ford,Shia LaBeouf,Ray Winstone,Karen Allen"
105864,"Maleah Nipay-Padilla,Frances McDormand,Jeffrey Wright,Raymond Ochoa,Jack Bright"
