movie_id,org_lang,org_lang_name,spk_lang,spk_lang_name
19995,en,English,en,English
19995,en,English,es,Español
285,en,English,en,English
206647,en,English,fr,Français
206647,en,English,en,English
206647,en,English,es,Español
206647,en,English,it,Italiano
206647,en,English,de,Deutsch
49026,en,English,en,English
49529,en,English,en,English
559,en,English,en,English
559,en,English,fr,Français
38757,en,English,en,English
99861,en,English,en,English
767,en,English,en,English
209112,en,English,en,English
1452,en,English,en,English
1452,en,English,fr,Français
1452,en,English,de,Deutsch
10764,en,English,en,English
10764,en,English,es,Español
10764,en,English,it,Italiano
10764,en,English,fr,Français
10764,en,English,de,Deutsch
58,en,English,en,English
58,en,English,tr,Türkçe
58,en,English,el,ελληνικά
58,en,English,zh,普通话
57201,en,English,en,English
49521,en,English,en,English
2454,en,English,en,English
24428,en,English,en,English
1865,en,English,en,English
1865,en,English,es,Español
41154,en,English,en,English
122917,en,English,en,English
1930,en,English,en,English
20662,en,English,en,English
20662,en,English,th,ภาษาไทย
57158,en,English,en,English
2268,en,English,is,Íslenska
2268,en,English,en,English
2268,en,English,ru,Pусский
2268,en,English,fr,Français
254,en,English,en,English
597,en,English,en,English
597,en,English,fr,Français
597,en,English,de,Deutsch
597,en,English,sv,svenska
597,en,English,it,Italiano
597,en,English,ru,Pусский
271110,en,English,ro,Română
271110,en,English,en,English
271110,en,English,de,Deutsch
271110,en,English,ru,Pусский
44833,en,English,en,English
44833,en,English,th,ภาษาไทย
135397,en,English,en,English
37724,en,English,en,English
558,en,English,en,English
558,en,English,ru,Pусский
558,en,English,zh,普通话
68721,en,English,en,English
12155,en,English,en,English
36668,en,English,en,English
62211,en,English,en,English
8373,en,English,en,English
8373,en,English,es,Español
91314,en,English,en,English
68728,en,English,en,English
102382,en,English,en,English
20526,en,English,en,English
49013,en,English,en,English
49013,en,English,ja,日本語
49013,en,English,it,Italiano
49013,en,English,fr,Français
44912,en,English,en,English
10193,en,English,en,English
10193,en,English,es,Español
534,en,English,en,English
534,en,English,it,Italiano
168259,en,English,en,English
72190,en,English,en,English
127585,en,English,en,English
54138,en,English,en,English
81005,en,English,en,English
64682,en,English,en,English
9543,en,English,en,English
68726,en,English,en,English
38356,en,English,en,English
217,en,English,en,English
217,en,English,de,Deutsch
217,en,English,ru,Pусский
105864,en,English,en,English
62177,en,English,en,English
188927,en,English,en,English
10681,en,English,en,English
5174,en,English,la,Latin
5174,en,English,en,English
5174,en,English,fr,Français
5174,en,English,ja,日本語
5174,en,English,zh,普通话
14161,en,English,en,English
14161,en,English,fr,Français
14161,en,English,hi,हिन्दी
14161,en,English,it,Italiano
14161,en,English,la,Latin
14161,en,English,zh,普通话
14161,en,English,pt,Português
14161,en,English,ru,Pусский
14161,en,English,bo,Tibetan
17979,en,English,en,English
76757,en,English,en,English
